fit_id,source,arm,seed,lr,main_updates,conditional_batch_forwards_backwards,selected_step,selected_validation,checkpoint,checkpoint_sha256,initial_learned_hash,initial_lora_hash,initial_adapter_hash,frozen_weights_buffers_unchanged,elapsed_this_process_seconds,recovered_updates_without_replay,frozen_digest_scope
Electricity_R_ROLLOUT_LORA_s92120_lr0.0001,Electricity,R_ROLLOUT_LORA,92120,0.0001,512,2048,512,0.16489600643185245,.cache\rollout_uncertainty_peft_v1_20260921\fits\Electricity_R_ROLLOUT_LORA_s92120_lr0.0001\step_0512.pt,6533ae8f9a8084ebbd49aed6ceed77f0d0d744bb4280a1f828fb7da653232a97,57fc14d0825668276a77f726d96fd1ef4f5a1193d111c0495d3ae925c3e4556a,57fc14d0825668276a77f726d96fd1ef4f5a1193d111c0495d3ae925c3e4556a,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True,29.765582700027153,512,recovery model only; see PRESEAL_EXECUTION_RECOVERY.json
Electricity_R_ROLLOUT_LORA_s92120_lr0.0003,Electricity,R_ROLLOUT_LORA,92120,0.0003,512,2048,512,0.16363522705529457,.cache\rollout_uncertainty_peft_v1_20260921\fits\Electricity_R_ROLLOUT_LORA_s92120_lr0.0003\step_0512.pt,887e89fdc6e5c57168e4c6619e190df79893a85a40fe76d4250265e9a9ca4f63,57fc14d0825668276a77f726d96fd1ef4f5a1193d111c0495d3ae925c3e4556a,57fc14d0825668276a77f726d96fd1ef4f5a1193d111c0495d3ae925c3e4556a,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True,29.79832579998765,512,recovery model only; see PRESEAL_EXECUTION_RECOVERY.json
Electricity_R_ROLLOUT_LORA_s92121_lr0.0003,Electricity,R_ROLLOUT_LORA,92121,0.0003,512,2048,512,0.16300085987010474,.cache\rollout_uncertainty_peft_v1_20260921\fits\Electricity_R_ROLLOUT_LORA_s92121_lr0.0003\step_0512.pt,52f32ec48d075e6eb4f5a832d0a181a09186fd4d60fb1e91ce81b3e275fa5d07,1abdc87e73b9bff0472b32446d7136e25a72c1238ac569db2e126162c5d6e1af,1abdc87e73b9bff0472b32446d7136e25a72c1238ac569db2e126162c5d6e1af,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True,246.01321840001037,0,before and after fit in this process
Electricity_R_ROLLOUT_LORA_s92122_lr0.0003,Electricity,R_ROLLOUT_LORA,92122,0.0003,512,2048,512,0.16322393598270116,.cache\rollout_uncertainty_peft_v1_20260921\fits\Electricity_R_ROLLOUT_LORA_s92122_lr0.0003\step_0512.pt,8f64672f63316e98ff2b294f760802f897cec031c5b07de3880c57e0fdc1d94a,ebef61469c20972de6d48d06d6bd01237b85d44e967d552e3064cc3dc58d5e74,ebef61469c20972de6d48d06d6bd01237b85d44e967d552e3064cc3dc58d5e74,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True,208.4855138999992,0,before and after fit in this process
Electricity_S_STATE_ADAPTER_s92120_lr0.0001,Electricity,S_STATE_ADAPTER,92120,0.0001,512,2048,512,0.16398148095045303,.cache\rollout_uncertainty_peft_v1_20260921\fits\Electricity_S_STATE_ADAPTER_s92120_lr0.0001\step_0512.pt,7c1434b003533f2cffcfbfdcc5595770f4967c83fe8c6b7cb11f311cc4804b0a,0d0cb28f5b265f9c4b841608a4b8a9ce16aa598022b6f3d38e35d845dbc238d6,57fc14d0825668276a77f726d96fd1ef4f5a1193d111c0495d3ae925c3e4556a,e6460f3401b25c0608a0b33b74b4abc66f56fcc9a632dcc9df9450bf05a0e422,True,179.10618910001358,0,before and after fit in this process
Electricity_S_STATE_ADAPTER_s92120_lr0.0003,Electricity,S_STATE_ADAPTER,92120,0.0003,512,2048,512,0.16319056341749436,.cache\rollout_uncertainty_peft_v1_20260921\fits\Electricity_S_STATE_ADAPTER_s92120_lr0.0003\step_0512.pt,55e3b6ab9a84ece6884bb8c0cf65d28eed77fdcd790e0dd270f0fe9eeeff126a,0d0cb28f5b265f9c4b841608a4b8a9ce16aa598022b6f3d38e35d845dbc238d6,57fc14d0825668276a77f726d96fd1ef4f5a1193d111c0495d3ae925c3e4556a,e6460f3401b25c0608a0b33b74b4abc66f56fcc9a632dcc9df9450bf05a0e422,True,250.1858972000191,0,before and after fit in this process
Electricity_S_STATE_ADAPTER_s92121_lr0.0003,Electricity,S_STATE_ADAPTER,92121,0.0003,512,2048,512,0.16240904212977758,.cache\rollout_uncertainty_peft_v1_20260921\fits\Electricity_S_STATE_ADAPTER_s92121_lr0.0003\step_0512.pt,50ef30eaf5dd28cb17b34b29ea83b685c96c4ea3c678b5fc95723fe0d03191f6,a387598240c6363d6510472139b70ab9e2d2591d15dadb0231a708b617037ce7,1abdc87e73b9bff0472b32446d7136e25a72c1238ac569db2e126162c5d6e1af,f6aa9fbd3096061d077523188cebc8c5fee485225be91dbf840021eedf7d5f3f,True,252.8147218999802,0,before and after fit in this process
Electricity_S_STATE_ADAPTER_s92122_lr0.0003,Electricity,S_STATE_ADAPTER,92122,0.0003,512,2048,512,0.16262591755283087,.cache\rollout_uncertainty_peft_v1_20260921\fits\Electricity_S_STATE_ADAPTER_s92122_lr0.0003\step_0512.pt,cbc92f903aec72a526876fa148bdfa57a99ee4d5fc9b1910d6b9097b4bf863ca,12893a603442cad293a106fc370c432b206f2e3f9082ec6a37f657c44f01f74d,ebef61469c20972de6d48d06d6bd01237b85d44e967d552e3064cc3dc58d5e74,515aa579d654778bd3aaeaf3fda11c39a253c6cb9054575c6eee36bc17eae146,True,258.43772159999935,0,before and after fit in this process
Electricity_U_UNCERTAINTY_ADAPTER_s92120_lr0.0001,Electricity,U_UNCERTAINTY_ADAPTER,92120,0.0001,512,2048,512,0.16397548606246737,.cache\rollout_uncertainty_peft_v1_20260921\fits\Electricity_U_UNCERTAINTY_ADAPTER_s92120_lr0.0001\step_0512.pt,06bac0e5edb06b1b7bb10ebe8f1c7a74d89d5d3c04116329c008eea05543388a,0d0cb28f5b265f9c4b841608a4b8a9ce16aa598022b6f3d38e35d845dbc238d6,57fc14d0825668276a77f726d96fd1ef4f5a1193d111c0495d3ae925c3e4556a,e6460f3401b25c0608a0b33b74b4abc66f56fcc9a632dcc9df9450bf05a0e422,True,263.0126457000151,0,before and after fit in this process
Electricity_U_UNCERTAINTY_ADAPTER_s92120_lr0.0003,Electricity,U_UNCERTAINTY_ADAPTER,92120,0.0003,512,2048,512,0.16317177881062647,.cache\rollout_uncertainty_peft_v1_20260921\fits\Electricity_U_UNCERTAINTY_ADAPTER_s92120_lr0.0003\step_0512.pt,1bdd7fcfe1e38fcb9004084243beb9e5af06a3a23cf4326e836526b91790c04c,0d0cb28f5b265f9c4b841608a4b8a9ce16aa598022b6f3d38e35d845dbc238d6,57fc14d0825668276a77f726d96fd1ef4f5a1193d111c0495d3ae925c3e4556a,e6460f3401b25c0608a0b33b74b4abc66f56fcc9a632dcc9df9450bf05a0e422,True,260.9953154999821,0,before and after fit in this process
